Date,TW_2330,TSM
2011-01-04,50.3564567565918,8.972472190856934
2011-01-05,49.366310119628906,9.00097942352295
2011-01-06,50.21500015258789,8.80855941772461
2011-01-07,51.27588653564453,9.172019958496094
2011-01-10,52.47821807861328,9.314554214477539
2011-01-11,52.69039535522461,9.421453475952148
2011-01-12,52.973297119140625,9.563986778259277
2011-01-13,52.76111602783203,9.62812614440918
2011-01-14,52.90256881713867,9.528352737426758
2011-01-18,54.317081451416016,9.749281883239746
2011-01-19,55.165775299072266,9.656633377075195
2011-01-20,54.03418731689453,9.642379760742188
2011-01-21,52.76111602783203,9.449960708618164
2011-01-24,53.256202697753906,9.457087516784668
2011-01-25,53.04401779174805,9.585365295410156
2011-01-26,52.76111602783203,9.421453475952148
2011-01-27,53.18546676635742,9.435705184936523
2011-01-28,53.96345901489258,9.48559284210205
2011-02-08,53.39765930175781,9.343059539794922
2011-02-09,52.19532012939453,9.563986778259277
2011-02-10,50.92225646972656,9.32880687713623
2011-02-11,50.49790954589844,9.150639533996582
2011-02-14,51.27588653564453,9.221904754638672
2011-02-15,51.27588653564453,9.186272621154785
2011-02-16,50.99299621582031,9.136384963989258
2011-02-17,51.27588653564453,9.186272621154785
2011-02-18,51.6295166015625,9.314554214477539
2011-02-22,51.27588653564453,9.129261016845703
2011-02-23,50.21500015258789,8.844193458557129
2011-02-24,49.86138153076172,8.751546859741211
2011-02-25,49.86138153076172,8.637519836425781
2011-03-01,50.49790954589844,8.758672714233398
2011-03-02,49.790653228759766,8.680280685424805
2011-03-03,50.07355880737305,8.701659202575684
2011-03-04,50.78080749511719,8.737292289733887
2011-03-07,50.14427947998047,8.844193458557129
2011-03-08,50.56863021850586,8.69453239440918
2011-03-09,50.49790954589844,8.801434516906738
2011-03-10,49.86138153076172,8.922588348388672
2011-03-11,49.507747650146484,8.630392074584961
2011-03-14,49.71992874145508,8.701659202575684
2011-03-15,48.09324264526367,8.666028022766113
2011-03-16,48.44687271118164,8.487858772277832
2011-03-17,47.66889572143555,8.145779609680176
2011-03-18,48.30542755126953,8.274059295654297
2011-03-21,48.80049133300781,8.373832702636719
2011-03-22,48.51759338378906,8.509239196777344
2011-03-23,48.58832550048828,8.423718452453613
2011-03-24,49.083404541015625,8.580506324768066
2011-03-25,50.3564567565918,8.751546859741211
2011-03-28,50.21500015258789,8.723038673400879
2011-03-29,50.07355880737305,8.673151969909668
2011-03-30,49.71992874145508,8.594761848449707
2011-03-31,49.932106018066406,8.630392074584961
2011-04-01,50.00282669067383,8.680280685424805
2011-04-06,51.55879592895508,8.701659202575684
2011-04-07,51.48806381225586,9.100753784179688
2011-04-08,51.55879592895508,9.0651216506958
2011-04-11,50.285728454589844,9.015233039855957
2011-04-12,49.5784797668457,8.915460586547852
2011-04-13,50.00282669067383,8.715912818908691
2011-04-14,49.366310119628906,8.737292289733887
2011-04-15,48.94194793701172,8.772926330566406
2011-04-18,48.80049133300781,8.701659202575684
2011-04-19,48.163970947265625,8.516366004943848
2011-04-20,49.366310119628906,8.523493766784668
2011-04-21,50.00282669067383,8.872699737548828
2011-04-25,49.71992874145508,8.951092720031738
2011-04-26,49.71992874145508,8.751546859741211
2011-04-27,51.13443374633789,8.951092720031738
2011-04-28,51.6295166015625,9.471339225769043
2011-04-29,51.77096176147461,9.556859016418457
2011-05-03,52.76111602783203,9.62099838256836
2011-05-04,52.19532012939453,9.592493057250977
2011-05-05,52.90256881713867,9.578238487243652
2011-05-06,53.04401779174805,9.656633377075195
2011-05-09,53.39765930175781,9.799165725708008
2011-05-10,52.61966323852539,9.74215316772461
2011-05-11,53.04401779174805,9.799165725708008
2011-05-12,53.53909683227539,9.62099838256836
2011-05-13,53.6805419921875,9.849053382873535
2011-05-16,52.973297119140625,9.685141563415527
2011-05-17,53.4683723449707,9.59961986541748
2011-05-18,53.256202697753906,9.542607307434082
2011-05-19,53.18546676635742,9.642379760742188
2011-05-20,53.39765930175781,9.585365295410156
2011-05-23,53.114742279052734,9.556859016418457
2011-05-24,52.90256881713867,9.35018539428711
2011-05-25,52.69039535522461,9.371565818786621
2011-05-26,52.47821807861328,9.385820388793945
2011-05-27,52.33676528930664,9.506972312927246
2011-05-31,54.24634552001953,9.449960708618164
2011-06-01,54.45852279663086,9.735025405883789
2011-06-02,54.03418731689453,9.749281883239746
2011-06-03,54.599979400634766,9.763532638549805
2011-06-07,54.81215286254883,9.720772743225098
2011-06-08,54.81215286254883,9.891813278198242
2011-06-09,54.38780975341797,9.777786254882812
2011-06-10,53.256202697753906,9.663761138916016
2011-06-13,52.831844329833984,9.300300598144531
2011-06-14,53.892723083496094,9.257537841796875
2011-06-15,54.45852279663086,9.499847412109375
2011-06-16,53.39765930175781,9.35018539428711
2011-06-17,52.47821807861328,9.264666557312012
2011-06-20,52.973297119140625,9.0651216506958
2011-06-21,53.6805419921875,9.193398475646973
2011-06-22,53.04401779174805,9.457087516784668
2011-06-23,52.47821807861328,9.207653045654297
2011-06-24,51.55879592895508,9.150639533996582
2011-06-27,50.92225646972656,8.837064743041992
2011-06-28,51.27588653564453,8.929712295532227
2011-06-29,52.677303314208984,9.136384963989258
2011-06-30,53.26753234863281,9.172780990600586
2011-07-01,53.71019744873047,9.365889549255371
2011-07-05,54.00529479980469,9.588711738586426
2011-07-06,53.71019744873047,9.447591781616211
2011-07-07,52.824859619140625,9.306472778320312
2011-07-08,53.48885726928711,9.477301597595215
2011-07-11,52.6035270690918,9.373319625854492
2011-07-12,51.865745544433594,9.187634468078613
2011-07-13,53.26753234863281,9.091079711914062
